Designator,Mid X,Mid Y,Rotation,Layer
2k2,193.3,-141.925,270.0,top
4.7u,209.9,-77.075,90.0,top
C1,187.2361,-91.6686,270.0,top
C10,119.9261,-105.0036,90.0,top
C11,186.6011,-133.5786,270.0,top
C12,178.9811,-105.6386,90.0,top
C13,184.0611,-105.6386,90.0,top
C14,197.3961,-45.9486,90.0,top
C15,197.3961,-51.0286,90.0,top
C16,192.3161,-45.9486,90.0,top
C17,192.3161,-51.0286,90.0,top
C18,161.2011,-61.8236,180.0,top
C19,156.1211,-61.8236,180.0,top
C2,178.3461,-76.4286,90.0,top
C20,178.3461,-47.2186,90.0,top
C21,185.9661,-47.2186,90.0,top
C24,105.9561,-103.7336,180.0,top
C25,187.2361,-100.5586,270.0,top
C26,89.93,-55.4,0.0,top
C28,121.0,-59.3,90.0,top
C29,120.2,-65.4,270.0,top
C3,192.3161,-54.8386,180.0,top
C32,123.0,-78.1,90.0,top
C33,121.5,-71.53,90.0,top
C34,169.4561,-132.9436,90.0,top
C35,169.4561,-137.3886,270.0,top
C4,192.3161,-57.3786,180.0,top
C5,178.9811,-61.8236,0.0,top
C6,184.0611,-76.4286,90.0,top
C7,184.0611,-82.1436,90.0,top
C8,196.7611,-141.8336,90.0,top
C9,121.1961,-115.1636,270.0,top
EX_A0,150.4061,-117.0686,0.0,bottom
EX_B0,147.8661,-120.8786,0.0,bottom
F1,108.2625,-55.0,0.0,top
H3,90.7161,-47.2186,0.0,bottom
H4,90.7161,-162.7886,0.0,bottom
H5,126.5301,-46.8376,0.0,bottom
H6,170.4721,-46.8376,0.0,bottom
H7,206.2861,-162.7886,0.0,bottom
H8,206.2861,-47.2186,0.0,bottom
IC10,175.514,-136.144,180.0,bottom
IC11,158.6611,-66.2686,0.0,top
IC12,148.5011,-104.8236,270.0,top
IC14,106.172,-110.236,270.0,top
IC2,199.3011,-103.0986,0.0,top
IC3,199.3011,-91.6686,0.0,top
IC4,148.5011,-135.4836,0.0,top
IC5,181.5211,-68.1736,0.0,top
IC7,194.2211,-118.3386,0.0,top
IC8,199.3011,-133.5786,0.0,top
IC9,175.514,-136.144,0.0,top
J1,92.15,-111.75,270.0,top
J3a,93.8365,-88.05,270.0,top
J4,111.2261,-50.2986,180.0,top
JP1,148.5011,-127.8636,0.0,top
L1,179.578,-91.6686,180.0,top
LED1,176.4411,-155.8036,90.0,top
LED10,186.6011,-149.4536,90.0,top
LED11,191.6811,-149.4536,90.0,top
LED12,90.678,-132.588,90.0,top
LED13,90.678,-138.938,90.0,top
LED14,90.678,-145.288,90.0,top
LED2,181.5211,-155.8036,90.0,top
LED3,186.6011,-155.8036,90.0,top
LED4,191.6811,-155.8036,90.0,top
LED5,196.7611,-155.8036,90.0,top
LED6,201.8411,-155.8036,90.0,top
LED7,206.9211,-155.8036,90.0,top
LED8,176.4411,-149.4536,90.0,top
LED9,181.5211,-149.4536,90.0,top
Q2,101.96,-119.126,270.0,top
Q3,107.95,-118.872,180.0,top
R1,163.7411,-120.2436,90.0,top
R10,204.3811,-140.5636,0.0,top
R11_2,192.3161,-67.5386,180.0,top
R11,215.725,-64.6,180.0,top
R12,133.8961,-117.0686,90.0,top
R13,118.6561,-115.1636,90.0,top
R15,165.0111,-66.2686,90.0,top
R16,152.3111,-66.2686,90.0,top
R17,168.8211,-72.6186,180.0,top
R18,168.8211,-75.1586,180.0,top
R19,177.7111,-52.2986,180.0,top
R2,161.2011,-120.2436,90.0,top
R20,177.7111,-54.8386,180.0,top
R21,203.1111,-80.8736,180.0,top
R22,203.1111,-83.4136,180.0,top
R23,215.8,-147.8,180.0,top
R24,168.8211,-77.6986,180.0,top
R25,168.8211,-80.2386,0.0,top
R27,140.2461,-56.1086,0.0,top
R28,140.2461,-58.6486,0.0,top
R29,113.538,-115.062,270.0,top
R3,192.3161,-59.9186,0.0,top
R31,116.078,-115.062,270.0,top
R4,192.3161,-62.4586,0.0,top
R5,192.3161,-70.0786,180.0,top
R6,203.1111,-78.3336,0.0,top
R7,192.3161,-72.6186,180.0,top
R8,203.1111,-75.7936,0.0,top
R9,192.3161,-64.9986,180.0,top
RN1,186.6011,-160.8836,180.0,top
RN2,120.2,-88.22,270.0,top
RN3,186.6011,-164.6936,180.0,top
S1,192.3161,-79.6036,90.0,top
SW1,98.7,-44.796,90.0,top
SWA0,133.2611,-152.6286,0.0,top
SWB0,148.5011,-152.6286,0.0,top
SWC0,163.7411,-152.6286,0.0,top
SWDOWN0,111.6711,-161.5186,0.0,top
SWLEFT0,102.7811,-152.6286,0.0,top
SWRIGHT0,120.5611,-152.6286,0.0,top
SWUP0,111.6711,-143.7386,0.0,top
TP_3V3,116.7511,-72.6186,0.0,bottom
TP_BOOTMODE0,112.9411,-79.6036,0.0,bottom
TP_GND0,124.3711,-58.6486,0.0,bottom
TP_RESET0,118.618,-114.046,0.0,bottom
TP_RX0,105.3211,-107.5436,0.0,bottom
TP_SCL0,161.2011,-121.5136,0.0,bottom
TP_SDA0,163.7411,-118.9736,0.0,bottom
TP_TX0,105.3211,-110.7186,0.0,bottom
U4,128.65,-79.6,180.0,top
XH2.54-9P,109.2,-136.8565,0.0,top
